IdAcademico,IdAlumno,IdSocial,SEMESTRE,NCURSOSMATRICULADOS,NCREDITOSMATRICULADOS,NCREDITOSAPROBADOS,NCREDITOSDESAPROBADOS,PROMEDIOPORCICLO,NOMBRESEDE,NOMBREESCUELA,UBIGEONACIMIENTO,ED0D,DIRECCION,ESTADOCIVIL,DEUDA,MODALIDADINGRESO,PUNTAJEINGRESO,TIPOCOLEGIO,LUGARCOLEGIO,ANOEGRESOCOLEGIO,SEXO
1,1,1,2010-1,7,22,12,10,12,0,2,2,0,0,2,2,0,2,1,1,2,1
2,1,1,2010-2,7,21,9,12,8,0,2,2,0,0,2,2,0,2,1,1,2,1
3,1,1,2010-C,3,11,11,0,15,0,2,2,0,0,2,2,0,2,1,1,2,1
4,1,1,2011-1,5,15,3,12,6,0,2,2,0,0,2,2,0,2,1,1,2,1
5,1,1,2011-2,5,15,0,15,2,0,2,2,0,0,2,2,0,2,1,1,2,1
6,1,1,2011-3,4,12,0,12,0,0,2,2,0,0,2,2,0,2,1,1,2,1
7,1,1,2012-1,4,12,0,12,0,0,2,2,0,0,2,2,0,2,1,1,2,1
8,1,1,2012-2,5,15,0,15,2,0,2,2,0,0,2,2,0,2,1,1,2,1
9,1,1,2013-1,5,15,0,15,3,0,2,2,0,0,2,2,0,2,1,1,2,1
10,1,1,2013-2,5,15,3,12,11,0,2,2,0,0,2,2,0,2,1,1,2,1
11,1,1,2013-3,4,15,0,15,4,0,2,2,0,0,2,2,0,2,1,1,2,1
12,1,1,2014-1,4,15,3,12,5,0,2,2,0,0,2,2,0,2,1,1,2,1
13,1,1,2014-2,3,12,0,12,0,0,2,2,0,0,2,2,0,2,1,1,2,1
14,1,1,2015-1,3,12,0,12,0,0,2,2,0,0,2,2,0,2,1,1,2,1
15,2,2,2010-1,7,22,0,22,0,0,2,2,1,0,2,1,0,2,0,1,2,1
16,2,2,2012-2,7,22,18,4,15,0,2,2,1,0,2,1,0,2,0,1,2,1
17,2,2,2013-1,6,21,21,0,15,0,2,2,1,0,2,1,0,2,0,1,2,1
18,2,2,2013-2,6,18,11,7,13,0,2,2,1,0,2,1,0,2,0,1,2,1
19,2,2,2013-3,6,20,16,4,15,0,2,2,1,0,2,1,0,2,0,1,2,1
20,2,2,2014-1,6,22,18,4,14,0,2,2,1,0,2,1,0,2,0,1,2,1
21,2,2,2014-2,5,19,12,7,14,0,2,2,1,0,2,1,0,2,0,1,2,1
22,2,2,2015-1,5,19,11,8,13,0,2,2,1,0,2,1,0,2,0,1,2,1
23,2,2,2015-2,5,16,9,7,13,0,2,2,1,0,2,1,0,2,0,1,2,1
24,3,3,2010-1,6,21,21,0,15,0,0,2,0,9,2,0,0,1,1,1,2,1
25,3,3,2010-2,6,21,14,7,13,0,0,2,0,9,2,0,0,1,1,1,2,1
26,3,3,2010-C,3,11,7,4,10,0,0,2,0,9,2,0,0,1,1,1,2,1
27,3,3,2011-1,6,21,21,0,15,0,0,2,0,9,2,0,0,1,1,1,2,1
28,3,3,2011-2,6,22,14,8,11,0,0,2,0,9,2,0,0,1,1,1,2,1
29,3,3,2011-3,6,22,15,7,14,0,0,2,0,9,2,0,0,1,1,1,2,1
30,3,3,2012-1,6,22,10,12,9,0,0,2,0,9,2,0,0,1,1,1,2,1
31,3,3,2012-2,6,22,15,7,12,0,0,2,0,9,2,0,0,1,1,1,2,1
32,3,3,2013-1,6,22,14,8,12,0,0,2,0,9,2,0,0,1,1,1,2,1
33,3,3,2013-2,6,22,14,8,13,0,0,2,0,9,2,0,0,1,1,1,2,1
34,3,3,2013-3,6,22,8,14,13,0,0,2,0,9,2,0,0,1,1,1,2,1
35,3,3,2014-1,6,22,6,16,11,0,0,2,0,9,2,0,0,1,1,1,2,1
36,3,3,2014-2,6,22,0,22,10,0,0,2,0,9,2,0,0,1,1,1,2,1
37,3,3,2015-1,5,20,4,16,8,0,0,2,0,9,2,0,0,1,1,1,2,1
38,4,4,2010-1,6,21,21,0,15,0,0,2,2,9,2,1,0,1,1,1,0,0
39,4,4,2010-2,6,21,21,0,15,0,0,2,2,9,2,1,0,1,1,1,0,0
40,4,4,2010-C,3,11,7,4,14,0,0,2,2,9,2,1,0,1,1,1,0,0
