IdAcademico,IdAlumno,IdSocial,SEMESTRE,NCURSOSMATRICULADOS,NCREDITOSMATRICULADOS,NCREDITOSAPROBADOS,NCREDITOSDESAPROBADOS,PROMEDIOPORCICLO,TIPOVIVIENDADONDEVIVE,REGIMENTENENCIAVIVIENDADONDEVIVE,VIVESUPADRE,VIVESUMADRE,PERSONASCONQUIENESVIVE,NIVELEDUCATIVOPADRE,NIVELEDUCATIVOMADRE,TRABAJASUPADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUPADRE,TRABAJASUMADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUMADRE,TIENECO0CIMIENTOSENCOMPUTACION,COMPUTADORAQUEUTILIZAFRECUENTEMENTEES,FINANCIAMIENTODESUSESTUDIOSUNIVERSITARIOS
1,1,1,2010-1,7,22,12,10,12,1,1,1,1,1,0,4,2,0,2,1,1,3,2
2,1,1,2010-2,7,21,9,12,8,1,1,1,1,1,0,4,2,0,2,1,1,3,2
3,1,1,2010-C,3,11,11,0,15,1,1,1,1,1,0,4,2,0,2,1,1,3,2
4,1,1,2011-1,5,15,3,12,6,1,1,1,1,1,0,4,2,0,2,1,1,3,2
5,1,1,2011-2,5,15,0,15,2,1,1,1,1,1,0,4,2,0,2,1,1,3,2
6,1,1,2011-3,4,12,0,12,0,1,1,1,1,1,0,4,2,0,2,1,1,3,2
7,1,1,2012-1,4,12,0,12,0,1,1,1,1,1,0,4,2,0,2,1,1,3,2
8,1,1,2012-2,5,15,0,15,2,1,1,1,1,1,0,4,2,0,2,1,1,3,2
9,1,1,2013-1,5,15,0,15,3,1,1,1,1,1,0,4,2,0,2,1,1,3,2
10,1,1,2013-2,5,15,3,12,11,1,1,1,1,1,0,4,2,0,2,1,1,3,2
11,1,1,2013-3,4,15,0,15,4,1,1,1,1,1,0,4,2,0,2,1,1,3,2
12,1,1,2014-1,4,15,3,12,5,1,1,1,1,1,0,4,2,0,2,1,1,3,2
13,1,1,2014-2,3,12,0,12,0,1,1,1,1,1,0,4,2,0,2,1,1,3,2
14,1,1,2015-1,3,12,0,12,0,1,1,1,1,1,0,4,2,0,2,1,1,3,2
15,2,2,2010-1,7,22,0,22,0,1,0,1,1,1,4,4,2,0,2,1,1,3,2
16,2,2,2012-2,7,22,18,4,15,1,0,1,1,1,4,4,2,0,2,1,1,3,2
17,2,2,2013-1,6,21,21,0,15,1,0,1,1,1,4,4,2,0,2,1,1,3,2
18,2,2,2013-2,6,18,11,7,13,1,0,1,1,1,4,4,2,0,2,1,1,3,2
19,2,2,2013-3,6,20,16,4,15,1,0,1,1,1,4,4,2,0,2,1,1,3,2
20,2,2,2014-1,6,22,18,4,14,1,0,1,1,1,4,4,2,0,2,1,1,3,2
21,2,2,2014-2,5,19,12,7,14,1,0,1,1,1,4,4,2,0,2,1,1,3,2
22,2,2,2015-1,5,19,11,8,13,1,0,1,1,1,4,4,2,0,2,1,1,3,2
23,2,2,2015-2,5,16,9,7,13,1,0,1,1,1,4,4,2,0,2,1,1,3,2
24,3,3,2010-1,6,21,21,0,15,0,1,1,1,0,5,3,2,0,2,1,1,3,2
25,3,3,2010-2,6,21,14,7,13,0,1,1,1,0,5,3,2,0,2,1,1,3,2
26,3,3,2010-C,3,11,7,4,10,0,1,1,1,0,5,3,2,0,2,1,1,3,2
27,3,3,2011-1,6,21,21,0,15,0,1,1,1,0,5,3,2,0,2,1,1,3,2
28,3,3,2011-2,6,22,14,8,11,0,1,1,1,0,5,3,2,0,2,1,1,3,2
29,3,3,2011-3,6,22,15,7,14,0,1,1,1,0,5,3,2,0,2,1,1,3,2
30,3,3,2012-1,6,22,10,12,9,0,1,1,1,0,5,3,2,0,2,1,1,3,2
31,3,3,2012-2,6,22,15,7,12,0,1,1,1,0,5,3,2,0,2,1,1,3,2
32,3,3,2013-1,6,22,14,8,12,0,1,1,1,0,5,3,2,0,2,1,1,3,2
33,3,3,2013-2,6,22,14,8,13,0,1,1,1,0,5,3,2,0,2,1,1,3,2
34,3,3,2013-3,6,22,8,14,13,0,1,1,1,0,5,3,2,0,2,1,1,3,2
35,3,3,2014-1,6,22,6,16,11,0,1,1,1,0,5,3,2,0,2,1,1,3,2
36,3,3,2014-2,6,22,0,22,10,0,1,1,1,0,5,3,2,0,2,1,1,3,2
37,3,3,2015-1,5,20,4,16,8,0,1,1,1,0,5,3,2,0,2,1,1,3,2
