IdAlumno,IdSocial,NOMBRESEDE,NOMBREESCUELA,UBIGEONACIMIENTO,EDAD,DIRECCION,ESTADOCIVIL,DEUDA,MODALIDADINGRESO,PUNTAJEINGRESO,TIPOCOLEGIO,LUGARCOLEGIO,ANOEGRESOCOLEGIO,SEXO,TIPOVIVIENDADONDEVIVE,REGIMENTENENCIAVIVIENDADONDEVIVE,VIVESUPADRE,VIVESUMADRE,PERSONASCONQUIENESVIVE,NIVELEDUCATIVOPADRE,NIVELEDUCATIVOMADRE,TRABAJASUPADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUPADRE,TRABAJASUMADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUMADRE,TIENECONOCIMIENTOSENCOMPUTACION,COMPUTADORAQUEUTILIZAFRECUENTEMENTEES,FINANCIAMIENTODESUSESTUDIOSUNIVERSITARIOS
1,1,0,2,2,0,0,2,2,0,2,1,1,2,1,1,1,1,1,1,0,4,2,0,2,1,1,3,2
2,2,0,2,2,1,0,2,1,0,2,0,1,2,1,1,0,1,1,1,4,4,2,0,2,1,1,3,2
3,3,0,0,2,0,9,2,0,0,1,1,1,2,1,0,1,1,1,0,5,3,2,0,2,1,1,3,2
4,4,0,0,2,2,9,2,1,0,1,1,1,0,0,0,0,1,1,4,0,0,2,0,1,2,1,3,2
5,5,0,0,2,2,6,2,1,0,0,1,1,0,0,1,0,1,1,4,4,4,2,0,2,0,1,0,2
6,6,0,1,2,2,9,2,1,0,0,1,1,0,1,1,2,1,1,2,0,4,1,2,2,0,1,3,1
7,7,0,1,2,1,9,2,1,1,1,0,1,1,1,0,2,1,1,1,2,2,2,1,2,0,1,3,2
8,8,0,1,2,0,9,2,1,0,0,0,1,2,1,0,2,1,1,1,4,0,2,1,1,2,1,3,2
9,9,0,1,2,2,0,2,2,1,1,1,1,0,0,0,2,1,1,0,0,5,1,2,2,1,1,3,0
10,10,0,0,2,1,9,2,1,0,1,1,1,1,1,1,0,1,1,4,3,2,2,1,2,1,0,1,2
11,11,0,1,2,1,5,2,2,0,0,0,1,1,1,1,0,0,1,2,1,0,0,2,1,2,1,0,0
12,12,0,3,2,1,9,2,2,0,1,0,1,1,1,0,0,1,1,1,1,1,0,2,0,2,1,1,2
