NS,TIPOVIVIENDADONDEVIVE,REGIMENTENENCIAVIVIENDADONDEVIVE,VIVESUPADRE,VIVESUMADRE,PERSONASCONQUIENESVIVE,NIVELEDUCATIVOPADRE,NIVELEDUCATIVOMADRE,TRABAJASUPADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUPADRE,TRABAJASUMADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUMADRE,TIENECONOCIMIENTOSENCOMPUTACION,COMPUTADORAQUEUTILIZAFRECUENTEMENTEES,FINANCIAMIENTODESUSESTUDIOSUNIVERSITARIOS
1,1,1,1,1,1,0,4,2,0,2,1,1,3,2
2,1,0,1,1,1,4,4,2,0,2,1,1,3,2
3,0,1,1,1,0,5,3,2,0,2,1,1,3,2
4,0,0,1,1,4,0,0,2,0,1,2,1,3,2
5,1,0,1,1,4,4,4,2,0,2,0,1,0,2
6,1,2,1,1,2,0,4,1,2,2,0,1,3,1
7,0,2,1,1,1,2,2,2,1,2,0,1,3,2
8,0,2,1,1,1,4,0,2,1,1,2,1,3,2
9,0,2,1,1,0,0,5,1,2,2,1,1,3,0
10,1,0,1,1,4,3,2,2,1,2,1,0,1,2
11,1,0,0,1,2,1,0,0,2,1,2,1,0,0
12,0,0,1,1,1,1,1,0,2,0,2,1,1,2
13,1,0,1,1,2,4,4,2,0,2,0,1,3,2
14,1,0,1,1,4,0,3,2,1,2,1,0,1,2
15,1,0,0,1,3,1,3,0,2,2,1,1,3,1
16,1,0,1,1,4,2,4,1,2,2,0,1,0,1
17,1,1,1,1,1,0,3,1,2,1,2,1,3,2
18,0,2,1,1,4,0,5,2,1,1,2,1,0,2
19,1,0,1,1,0,0,0,2,0,2,1,1,3,1
20,0,2,1,1,3,4,4,2,1,2,1,1,3,2
21,1,1,1,1,3,4,4,2,0,2,0,1,3,2
22,1,0,1,1,3,5,4,2,0,2,0,1,3,2
23,0,2,0,1,0,1,2,0,2,2,1,1,3,1
24,1,0,1,1,4,2,2,1,2,1,2,1,0,1
25,1,0,1,1,2,0,3,2,0,1,2,1,0,1
26,0,2,1,1,1,0,0,2,1,2,1,1,3,2
27,0,2,1,1,1,3,5,1,2,1,2,1,0,0
28,1,0,1,1,1,5,4,2,0,2,0,1,3,2
29,0,2,1,1,1,3,3,2,1,2,1,1,3,2
30,0,2,1,1,1,4,0,2,1,2,1,1,3,2
31,0,2,1,1,1,2,4,2,1,2,1,1,3,2
32,1,0,1,1,1,4,4,2,0,1,2,1,3,2
33,0,2,1,1,1,0,0,2,1,2,0,1,3,2
34,0,2,1,1,1,5,0,2,0,2,0,1,0,1
35,0,2,1,1,1,4,4,2,0,2,1,1,3,2
36,1,2,1,1,1,5,5,2,0,2,1,1,3,2
37,0,2,1,1,1,2,4,2,1,2,1,1,3,2
38,1,0,1,1,1,3,3,2,1,2,1,1,3,1
39,0,2,1,1,1,3,3,2,1,2,1,0,1,2
40,1,0,1,1,4,4,4,2,1,2,1,1,3,2
41,0,2,1,1,1,5,3,2,1,2,1,1,3,2
42,0,2,1,1,1,5,4,2,0,1,2,1,3,2
43,0,2,1,1,1,3,3,2,0,2,0,1,0,2
44,0,2,1,1,1,3,3,2,1,2,0,1,0,2
45,0,2,1,1,1,5,3,2,1,1,2,0,1,2
46,1,0,0,1,4,1,2,0,2,2,1,1,3,1
47,0,2,1,1,4,4,3,2,0,2,1,1,0,1
48,0,2,1,1,1,4,4,2,1,2,1,1,3,2
49,0,2,1,1,1,4,4,2,0,2,1,1,3,2
50,0,2,1,1,1,3,0,1,2,1,2,1,3,1
51,0,2,0,1,0,1,4,0,2,2,0,1,3,2
52,0,2,1,1,1,0,3,2,1,2,1,1,3,2
53,1,2,1,1,1,2,4,2,1,2,0,1,3,2
54,0,2,1,1,1,4,0,2,0,2,1,1,3,2
55,0,2,1,1,1,4,4,2,0,2,0,1,3,2
56,0,2,1,1,1,5,5,2,0,2,0,1,3,2
57,1,1,0,1,3,1,2,0,2,1,2,0,1,1
58,0,2,1,1,1,0,3,2,1,2,1,1,3,0
59,0,2,1,1,1,3,3,2,0,1,2,1,3,1
60,0,2,1,1,1,4,4,2,0,2,1,1,3,2
61,0,2,1,1,1,3,3,2,1,2,1,1,3,2
62,0,2,1,0,1,5,1,2,0,0,2,1,0,2
63,0,2,1,1,1,4,5,1,2,2,0,1,3,2
64,1,0,1,1,3,5,0,1,2,2,1,1,2,2
65,1,2,1,1,1,3,3,2,1,2,1,0,1,2
66,0,2,1,1,1,4,4,2,0,2,0,1,0,2
67,0,2,1,1,1,4,4,2,0,2,0,1,3,2
68,0,2,1,1,1,4,4,2,0,2,0,1,3,2
69,0,2,1,1,1,2,4,2,0,2,1,1,3,2
70,0,2,1,1,1,4,0,2,1,2,1,1,3,2
71,0,2,1,1,0,4,4,2,0,1,2,1,3,0
72,0,2,1,1,0,2,4,2,0,2,0,1,3,2
73,0,2,1,1,1,3,3,2,1,2,0,1,3,2
74,0,2,1,1,0,4,4,2,1,2,0,1,0,2
75,0,2,1,1,1,0,0,2,0,2,0,1,3,2
76,0,2,1,1,1,5,4,2,0,1,2,1,3,0
77,0,0,1,1,1,4,4,2,0,2,1,1,3,2
78,0,2,1,1,1,5,2,2,1,2,1,1,3,2
79,0,2,1,1,3,3,0,2,1,2,1,1,0,2
80,0,2,1,1,1,4,4,2,1,2,1,1,3,2
81,0,2,1,1,1,3,3,1,2,1,2,1,3,2
82,0,2,1,1,1,4,4,2,0,2,0,1,3,2
83,0,2,1,1,3,4,4,2,0,2,0,1,3,2
84,1,0,1,0,1,5,1,2,1,0,2,1,3,2
85,0,2,1,1,1,5,0,2,0,2,1,1,3,2
86,0,2,1,1,1,4,4,2,0,2,1,1,3,2
87,1,1,1,1,1,5,0,2,0,2,0,1,3,2
88,0,2,1,1,1,4,4,2,0,2,1,1,3,2
89,1,0,1,1,1,5,5,2,1,2,1,1,3,2
90,0,2,1,1,1,3,0,2,1,2,1,1,0,2
91,0,2,1,1,1,4,4,2,0,2,0,1,3,2
92,0,2,1,1,1,0,0,2,0,2,0,1,2,2
93,0,0,1,1,1,4,4,2,1,2,1,1,3,2
94,1,2,1,1,1,5,5,2,1,2,1,1,3,2
95,0,0,0,1,1,1,4,0,2,2,0,1,0,1
96,0,2,1,1,1,2,2,2,0,2,1,1,3,1
97,0,2,0,1,0,1,0,0,2,2,0,1,3,1
98,1,0,1,1,1,0,3,2,0,1,2,1,3,2
99,0,1,1,1,1,3,3,2,0,2,1,1,0,2
100,0,2,1,1,1,4,4,2,0,2,0,1,3,2
101,0,2,1,1,1,3,3,2,1,2,1,1,3,2
102,0,2,1,1,1,0,0,2,0,1,2,1,3,2
103,0,2,1,0,1,5,1,2,1,0,2,1,0,2
104,0,2,1,1,1,5,0,2,1,1,2,1,3,2
105,0,2,1,1,1,4,4,2,1,2,0,1,0,2
106,0,2,1,1,1,4,5,2,0,1,2,1,0,2
107,1,0,0,1,1,1,3,0,2,2,1,1,0,2
108,0,2,1,1,1,3,3,2,1,2,2,1,1,2
109,0,2,1,1,1,5,4,2,0,2,0,1,3,1
110,1,1,1,1,1,0,4,2,0,2,0,1,3,2
111,1,0,1,1,1,4,3,2,0,1,2,0,1,2
112,0,0,1,1,0,4,0,2,0,1,2,1,3,1
113,0,2,1,1,1,0,5,2,1,2,1,1,3,2
114,0,2,1,1,0,5,5,2,1,2,1,1,3,2
115,0,0,1,1,1,0,3,2,1,1,2,1,0,1
116,0,2,0,1,1,1,4,0,2,2,0,1,0,1
117,0,2,1,1,1,3,3,2,0,2,1,1,3,2
118,0,2,1,1,1,3,3,2,1,2,1,1,3,2
119,0,2,1,1,1,0,0,2,0,2,1,1,3,2
120,0,2,1,1,1,0,0,2,0,2,1,1,3,2
121,0,2,1,1,1,4,0,2,1,2,1,1,3,2
122,0,2,1,1,1,4,4,2,0,1,2,1,0,1
123,0,2,1,1,1,4,5,2,1,2,1,1,3,2
124,0,2,1,1,1,3,3,2,1,2,0,1,3,2
125,0,2,1,1,1,4,4,2,0,2,0,1,3,2
126,0,2,0,1,3,1,3,0,2,2,1,1,3,1
127,0,2,1,1,3,4,4,2,1,2,0,1,3,2
128,1,0,1,1,3,0,0,2,1,2,0,1,0,2
129,1,2,1,1,1,4,4,2,0,2,0,1,3,2
130,0,2,1,1,1,4,5,2,0,2,1,1,0,2
131,0,2,1,1,1,4,0,2,1,2,1,1,0,2
132,0,2,1,1,1,4,4,2,1,2,1,1,3,2
133,0,2,1,1,1,4,4,2,0,1,2,1,3,2
134,1,2,1,1,1,4,0,1,2,1,2,1,2,0
135,0,2,1,1,1,0,4,2,0,2,0,1,3,1
136,1,1,1,1,1,4,0,2,0,2,1,1,3,2
137,1,2,1,1,2,3,4,2,1,2,0,0,1,2
138,0,2,1,1,1,4,4,2,0,2,0,1,3,2
139,0,2,1,1,1,4,4,2,1,2,1,1,3,2
140,0,2,1,1,1,0,0,2,1,2,1,1,3,2
141,0,2,1,1,1,4,4,2,0,2,0,1,3,2
142,0,2,1,1,1,0,4,2,1,2,1,1,3,2
143,0,2,1,1,1,4,0,2,0,2,0,1,3,2
144,0,2,1,1,0,0,0,2,0,2,0,1,3,2
145,1,2,1,1,1,5,5,2,1,2,1,1,3,2
146,1,0,1,1,4,3,3,2,1,2,1,1,0,2
147,1,2,1,1,1,4,3,2,0,2,1,1,3,1
148,0,2,1,1,1,4,4,2,0,1,2,1,3,2
149,0,2,1,1,3,4,4,2,1,2,1,1,3,2
150,0,2,1,1,1,4,4,2,0,2,0,1,3,2
151,0,0,1,1,1,4,5,2,1,1,2,1,3,2
152,0,2,1,1,1,0,0,2,0,2,0,1,3,2
153,0,2,1,1,0,4,4,2,0,2,0,1,3,0
154,0,2,1,1,1,0,4,2,1,2,0,1,3,2
155,0,0,1,1,1,1,1,0,2,0,2,1,1,2
156,0,2,1,1,1,4,4,2,1,2,1,1,3,2
157,0,2,1,1,1,4,4,2,1,2,1,1,3,2
158,0,2,1,1,1,5,0,2,1,1,2,1,3,2
159,0,2,1,1,1,4,5,2,1,2,1,1,3,1
160,1,2,1,1,1,0,0,2,1,2,1,1,3,2
161,0,2,1,1,1,4,4,2,0,2,0,1,3,2
162,0,2,0,0,2,1,1,0,2,0,2,1,3,1
163,0,2,1,1,1,0,3,2,1,2,1,1,3,2
164,0,2,1,1,1,2,4,2,0,2,0,1,3,2
165,0,2,1,1,1,4,4,2,1,2,1,1,0,2
166,0,2,1,1,1,3,0,2,0,2,0,1,3,2
167,0,2,1,1,1,5,4,2,0,2,1,1,3,2
168,0,2,1,1,1,3,5,2,1,2,1,1,3,2
169,0,2,1,1,1,4,0,2,0,2,1,1,3,2
170,0,2,1,1,1,3,3,2,0,2,0,1,0,2
171,0,2,1,1,1,4,4,2,1,2,1,1,3,2
172,0,2,1,0,1,3,1,2,1,0,2,1,2,1
173,0,2,1,1,1,0,3,1,2,1,2,0,1,0
174,1,0,1,1,1,3,0,2,1,2,1,1,3,2
175,0,2,1,1,1,4,4,2,1,2,1,1,3,2
176,0,2,1,1,4,4,3,2,1,2,1,1,3,1
177,0,2,1,1,1,3,3,2,1,2,1,1,3,1
178,0,2,1,1,1,4,5,2,1,2,1,1,3,1
179,0,2,1,1,1,4,4,1,2,2,0,1,3,1
180,0,2,1,1,3,5,5,2,1,1,2,1,3,2
181,0,2,1,1,1,4,3,2,0,1,2,1,3,2
