NAL,NS,SEMESTRE,NCURSOSMATRICULADOS,NCREDITOSMATRICULADOS,NCREDITOSAPROBADOS,NCREDITOSDESAPROBADOS,PROMEDIOPORCICLO
1,1,2010-1,7,22,12,10,12
1,1,2010-2,7,21,9,12,8
1,1,2010-C,3,11,11,0,15
1,1,2011-1,5,15,3,12,6
1,1,2011-2,5,15,0,15,2
1,1,2011-3,4,12,0,12,0
1,1,2012-1,4,12,0,12,0
1,1,2012-2,5,15,0,15,2
1,1,2013-1,5,15,0,15,3
1,1,2013-2,5,15,3,12,11
1,1,2013-3,4,15,0,15,4
1,1,2014-1,4,15,3,12,5
1,1,2014-2,3,12,0,12,0
1,1,2015-1,3,12,0,12,0
2,2,2010-1,7,22,0,22,0
2,2,2012-2,7,22,18,4,15
2,2,2013-1,6,21,21,0,15
2,2,2013-2,6,18,11,7,13
2,2,2013-3,6,20,16,4,15
2,2,2014-1,6,22,18,4,14
2,2,2014-2,5,19,12,7,14
2,2,2015-1,5,19,11,8,13
2,2,2015-2,5,16,9,7,13
3,3,2010-1,6,21,21,0,15
3,3,2010-2,6,21,14,7,13
3,3,2010-C,3,11,7,4,10
3,3,2011-1,6,21,21,0,15
3,3,2011-2,6,22,14,8,11
3,3,2011-3,6,22,15,7,14
3,3,2012-1,6,22,10,12,9
3,3,2012-2,6,22,15,7,12
3,3,2013-1,6,22,14,8,12
3,3,2013-2,6,22,14,8,13
3,3,2013-3,6,22,8,14,13
3,3,2014-1,6,22,6,16,11
3,3,2014-2,6,22,0,22,10
3,3,2015-1,5,20,4,16,8
4,4,2010-1,6,21,21,0,15
4,4,2010-2,6,21,21,0,15
4,4,2010-C,3,11,7,4,14
4,4,2011-1,6,22,6,16,8
4,4,2011-2,6,22,15,7,12
4,4,2011-3,6,22,0,22,6
4,4,2012-1,6,22,4,18,6
4,4,2012-2,6,22,3,19,6
4,4,2013-1,6,22,10,12,10
4,4,2013-2,5,19,7,12,6
4,4,2013-3,5,20,12,8,13
4,4,2014-1,6,22,22,0,15
4,4,2014-2,6,22,15,7,13
4,4,2015-1,6,22,15,7,13
4,4,2015-2,6,22,18,4,13
5,5,2010-1,6,21,0,21,0
5,5,2011-2,6,21,21,0,16
5,5,2011-3,6,21,21,0,18
5,5,2012-1,7,26,18,8,12
5,5,2012-2,5,20,8,12,10
5,5,2013-1,6,22,18,4,13
5,5,2013-2,6,22,18,4,14
5,5,2013-3,6,22,18,4,13
5,5,2014-1,6,22,19,3,13
5,5,2014-2,6,22,19,3,13
5,5,2015-1,6,22,22,0,15
5,5,2015-2,7,22,20,2,15
6,6,2010-1,7,22,21,1,16
6,6,2010-2,7,22,22,0,16
6,6,2011-1,6,21,21,0,16
6,6,2011-2,6,22,22,0,15
6,6,2011-3,3,12,8,4,15
6,6,2012-1,6,20,17,3,13
6,6,2012-2,7,21,17,4,12
6,6,2013-1,7,20,17,3,15
6,6,2013-2,4,14,11,3,14
6,6,2013-3,7,21,21,0,14
6,6,2014-1,6,22,19,3,15
6,6,2014-2,5,20,20,0,15
7,7,2010-1,7,22,17,5,13
7,7,2010-2,6,19,19,0,15
7,7,2010-C,3,11,7,4,14
7,7,2011-1,6,21,17,4,14
7,7,2011-2,6,22,18,4,13
7,7,2011-3,6,21,5,16,7
7,7,2012-1,6,21,18,3,14
7,7,2012-2,7,22,14,8,12
7,7,2013-1,6,21,21,0,14
7,7,2013-2,6,20,9,11,11
7,7,2013-3,7,22,22,0,14
7,7,2014-1,6,22,10,12,11
7,7,2014-2,6,20,20,0,15
7,7,2015-1,5,22,11,11,12
7,7,2015-2,1,8,8,0,15
8,8,2010-1,7,22,21,1,14
8,8,2010-2,6,22,11,11,10
8,8,2010-C,3,10,7,3,10
8,8,2011-1,7,21,13,8,11
8,8,2011-2,4,16,8,8,14
8,8,2011-3,5,19,12,7,9
8,8,2012-1,5,17,17,0,16
9,9,2010-1,7,22,18,4,14
9,9,2010-2,6,21,21,0,16
