IdAlumno,IdSocial,NOMBRESEDE,NOMBREESCUELA,UBIGEONACIMIENTO,EDAD,DIRECCION,ESTADOCIVIL,DEUDA,MODALIDADINGRESO,PUNTAJEINGRESO,TIPOCOLEGIO,LUGARCOLEGIO,ANOEGRESOCOLEGIO,SEXO,TIPOVIVIENDADONDEVIVE,REGIMENTENENCIAVIVIENDADONDEVIVE,VIVESUPADRE,VIVESUMADRE,PERSONASCONQUIENESVIVE,NIVELEDUCATIVOPADRE,NIVELEDUCATIVOMADRE,TRABAJASUPADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUPADRE,TRABAJASUMADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUMADRE,TIENECONOCIMIENTOSENCOMPUTACION,COMPUTADORAQUEUTILIZAFRECUENTEMENTEES,FINANCIAMIENTODESUSESTUDIOSUNIVERSITARIOS
1,1,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,A,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
2,2,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,B,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PRIVADA,OTROS DISTRITOS,Z,MASCULINO,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
3,3,CUSCO,CONTABILIDAD,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),CUARTA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,Z,MASCULINO,CASA INDEPENDIENTE,OTRO,SI,SI,OTROS PARIENTES,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
4,4,CUSCO,CONTABILIDAD,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
5,5,CUSCO,CONTABILIDAD,OTROS UBIGEO,C,SAN SEBASTIAN,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,OTRO,ALQUILADA,SI,SI,SOLO(A),SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
6,6,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,OTRO,PROPIA,SI,SI,SOLO HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,NO,NaN,SI,DEPENDIENTE,SI,PROPIA,POR SU CUENTA
7,7,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),NO DEBE,OTRAS MODALIDADES,ESPERADO,PRIVADA,OTROS DISTRITOS,Y,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,OTROS ESTUDIOS,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
8,8,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PRIVADA,OTROS DISTRITOS,Z,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
9,9,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,OTRAS MODALIDADES,ESPERADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,CASA INDEPENDIENTE,PROPIA,SI,SI,OTROS PARIENTES,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,NO,NaN,SI,INDEPENDIENTE,SI,PROPIA,OTROS
10,10,CUSCO,CONTABILIDAD,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,Y,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO(A),SECUNDARIA,OTROS ESTUDIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,NO,NaN,SUS PADRES
11,11,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,B,SAN JERONIMO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,DESTACADO,PRIVADA,OTROS DISTRITOS,Y,MASCULINO,OTRO,ALQUILADA,NO,SI,SOLO HERMANOS,NaN,ESTUDIOS TECNICOS NO UNIVERSITARIOS,NaN,NaN,NO,NaN,SI,CABINAS DE INTERNET,OTROS
12,12,CUSCO,TURISMO,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PRIVADA,OTROS DISTRITOS,Y,MASCULINO,CASA INDEPENDIENTE,ALQUILADA,SI,SI,PADRES Y HERMANOS,NaN,NaN,NaN,NaN,NaN,NaN,SI,NaN,SUS PADRES
13,13,CUSCO,CONTABILIDAD,OTROS UBIGEO,B,CUSCO,OTROS,NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,Y,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
14,14,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,B,CUSCO,SOLTERO(A),SEGUNDA CATEGORIA,EXAMEN ADMISION ORDINARIO,DESTACADO,PRIVADA,OTROS DISTRITOS,Y,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,NO,NaN,SUS PADRES
15,15,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,NO,SI,SOLO MADRE,NaN,SECUNDARIA,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
16,16,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,SAN JERONIMO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PRIVADA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO(A),OTROS ESTUDIOS,SUP. UNIV. COMPLETA,NO,NaN,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,POR SU CUENTA
17,17,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,B,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PRIVADA,OTROS DISTRITOS,Y,MASCULINO,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,NO,NaN,NO,NaN,SI,PROPIA,SUS PADRES
18,18,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),NO DEBE,OTRAS MODALIDADES,ESPERADO,PUBLICA,OTROS DISTRITOS,Y,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
19,19,OTRAS SEDES,CONTABILIDAD,OTROS UBIGEO,C,NaN,NaN,PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,OTRO,ALQUILADA,SI,SI,OTROS PARIENTES,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
20,20,CUSCO,TURISMO,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PRIVADA,OTROS DISTRITOS,Z,FEMENINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO MADRE,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
21,21,CUSCO,TURISMO,OTROS UBIGEO,A,NaN,NaN,NO DEBE,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PRIVADA,OTROS DISTRITOS,Z,FEMENINO,OTRO,OTRO,SI,SI,SOLO MADRE,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
22,22,CUSCO,CONTABILIDAD,OTROS UBIGEO,A,NaN,NaN,PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,Z,FEMENINO,OTRO,ALQUILADA,SI,SI,SOLO MADRE,SUP. UNIV. INCOMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
23,23,OTRAS SEDES,CONTABILIDAD,OTROS UBIGEO,C,CUSCO,OTROS,NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,CASA INDEPENDIENTE,PROPIA,NO,SI,OTROS PARIENTES,NaN,OTROS ESTUDIOS,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
24,24,OTRAS SEDES,INGENIERIA DE SISTEMAS,OTROS UBIGEO,C,NaN,NaN,PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO(A),OTROS ESTUDIOS,OTROS ESTUDIOS,NO,NaN,NO,NaN,SI,CABINAS DE INTERNET,POR SU CUENTA
25,25,CUSCO,CONTABILIDAD,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,SI,DEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,POR SU CUENTA
26,26,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,CUSCO,NaN,PRIMERA CATEGORIA,OTRAS MODALIDADES,ESPERADO,PRIVADA,CUSCO,X,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
27,27,OTRAS SEDES,CONTABILIDAD,OTROS UBIGEO,B,QUILLABAMBA,SOLTERO(A),CUARTA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SUP. UNIV. INCOMPLETA,NO,NaN,NO,NaN,SI,CABINAS DE INTERNET,OTROS
28,28,CUSCO,CONTABILIDAD,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PRIVADA,CUSCO,Z,MASCULINO,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
29,29,CUSCO,CONTABILIDAD,OTROS UBIGEO,B,CUSCO,OTROS,SEGUNDA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PRIVADA,CUSCO,Z,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
30,30,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,A,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PRIVADA,CUSCO,Z,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
31,31,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,A,SAN SEBASTIAN,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PRIVADA,CUSCO,Z,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
32,32,CUSCO,TURISMO,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PRIVADA,OTROS DISTRITOS,Z,FEMENINO,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
33,33,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,A,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,DESTACADO,PRIVADA,CUSCO,Z,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
34,34,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,CUSCO,X,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,POR SU CUENTA
35,35,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,A,SAN JERONIMO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,CUSCO,Z,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
36,36,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,B,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,CUSCO,Z,MASCULINO,OTRO,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SUP. UNIV. INCOMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
37,37,CUSCO,TURISMO,OTROS UBIGEO,B,CUSCO,SOLTERO(A),TERCERA CATEGORIA,OTRAS MODALIDADES,NO DESTACADO,PRIVADA,CUSCO,Y,FEMENINO,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
38,38,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PRIVADA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
