NS,TIPOVIVIENDADONDEVIVE,REGIMENTENENCIAVIVIENDADONDEVIVE,VIVESUPADRE,VIVESUMADRE,PERSONASCONQUIENESVIVE,NIVELEDUCATIVOPADRE,NIVELEDUCATIVOMADRE,TRABAJASUPADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUPADRE,TRABAJASUMADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUMADRE,TIENECONOCIMIENTOSENCOMPUTACION,COMPUTADORAQUEUTILIZAFRECUENTEMENTEES,FINANCIAMIENTODESUSESTUDIOSUNIVERSITARIOS
1,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
2,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
3,CASA INDEPENDIENTE,OTRO,SI,SI,OTROS PARIENTES,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
4,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
5,OTRO,ALQUILADA,SI,SI,SOLO(A),SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
6,OTRO,PROPIA,SI,SI,SOLO HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,NO,NaN,SI,DEPENDIENTE,SI,PROPIA,POR SU CUENTA
7,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,OTROS ESTUDIOS,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
8,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
9,CASA INDEPENDIENTE,PROPIA,SI,SI,OTROS PARIENTES,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,NO,NaN,SI,INDEPENDIENTE,SI,PROPIA,OTROS
10,OTRO,ALQUILADA,SI,SI,SOLO(A),SECUNDARIA,OTROS ESTUDIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,NO,NaN,SUS PADRES
11,OTRO,ALQUILADA,NO,SI,SOLO HERMANOS,NaN,ESTUDIOS TECNICOS NO UNIVERSITARIOS,NaN,NaN,NO,NaN,SI,CABINAS DE INTERNET,OTROS
12,CASA INDEPENDIENTE,ALQUILADA,SI,SI,PADRES Y HERMANOS,NaN,NaN,NaN,NaN,NaN,NaN,SI,NaN,SUS PADRES
13,OTRO,ALQUILADA,SI,SI,SOLO HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
14,OTRO,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,NO,NaN,SUS PADRES
15,OTRO,ALQUILADA,NO,SI,SOLO MADRE,NaN,SECUNDARIA,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
16,OTRO,ALQUILADA,SI,SI,SOLO(A),OTROS ESTUDIOS,SUP. UNIV. COMPLETA,NO,NaN,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,POR SU CUENTA
17,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,NO,NaN,NO,NaN,SI,PROPIA,SUS PADRES
18,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
